Name,Description,Tier
open,"Indicates a zone where travelers may travel freely in a range of paths they choose. Common areas to represent as zones include parks and plazas. Open zones are represented as polygons that show the physical space taken up by the zone. If sidewalks, footways or bike facilities are present, map them separately as edges.",Tier 3
traffic_calming,"Used to identify where traffic calming features are located where these features are an area (versus a point). If possible, use the traffic_calming zone type to show the area affected by the feature. The traffic_calming point is available for when mapping of the area is not available.",Tier 3
